title,identifier,name,geom,bbox,formatted_address,place_id,url,point_geom,bbox_geom
Eiffel Tower,"tower, Paris, France",Avenue Gustave Eiffel,"{'lat': 48.85837009999999, 'lng': 2.2944813}","{'northeast': {'lat': 48.8593817802915, 'lng': 2.296314600000001}, 'southwest': {'lat': 48.8566838197085, 'lng': 2.2934008}}","Av. Gustave Eiffel, 75007 Paris, France",ChIJLU7jZClu5kcR4PcOOO6p3I0,https://www.britannica.com/topic/Eiffel-Tower-Paris-France,POINT (2.2944813 48.85837009999999),"POLYGON ((2.296314600000001 48.8566838197085, 2.296314600000001 48.8593817802915, 2.2934008 48.8593817802915, 2.2934008 48.8566838197085, 2.296314600000001 48.8566838197085))"
Nile River,"river, Africa",Nile,"{'lat': 23.55979236573434, 'lng': 32.15770737905076}","{'northeast': {'lat': 31.5122675, 'lng': 34.0641419}, 'southwest': {'lat': 15.6073172, 'lng': 30.2512728}}",Nile,ChIJrUWsRqizWhQRIqs0_CQzO2I,https://www.britannica.com/place/Nile-River,POINT (32.15770737905076 23.55979236573434),"POLYGON ((34.0641419 15.6073172, 34.0641419 31.5122675, 30.2512728 31.5122675, 30.2512728 15.6073172, 34.0641419 15.6073172))"
Loch Ness,"lake, Scotland, United Kingdom",Loch Ness,"{'lat': 57.3228575, 'lng': -4.4243817}","{'northeast': {'lat': 57.4097118, 'lng': -4.3276873}, 'southwest': {'lat': 57.1383591, 'lng': -4.6756821}}","Loch Ness, United Kingdom",ChIJKTeiTcMWj0gRL5H-9MtJ19Q,https://www.britannica.com/place/Loch-Ness-lake-Scotland-United-Kingdom,POINT (-4.4243817 57.3228575),"POLYGON ((-4.3276873 57.1383591, -4.3276873 57.4097118, -4.6756821 57.4097118, -4.6756821 57.1383591, -4.3276873 57.1383591))"
New Delhi,"national capital, India",New Delhi,"{'lat': 28.6139298, 'lng': 77.2088282}","{'northeast': {'lat': 28.7053937, 'lng': 77.3449601}, 'southwest': {'lat': 28.4041, 'lng': 77.07301009999999}}","New Delhi, Delhi, India",ChIJLbZ-NFv9DDkRzk0gTkm3wlI,https://www.britannica.com/place/Delhi,POINT (77.2088282 28.6139298),"POLYGON ((77.3449601 28.4041, 77.3449601 28.7053937, 77.07301009999999 28.7053937, 77.07301009999999 28.4041, 77.3449601 28.4041))"
Chicago,"Illinois, United States",Chicago,"{'lat': 41.88325, 'lng': -87.6323879}","{'northeast': {'lat': 42.0231351, 'lng': -87.52366099999999}, 'southwest': {'lat': 41.644286, 'lng': -87.940097}}","Chicago, IL, USA",ChIJ7cv00DwsDogRAMDACa2m4K8,https://www.britannica.com/place/Illinois-state,POINT (-87.6323879 41.88325),"POLYGON ((-87.52366099999999 41.644286, -87.52366099999999 42.0231351, -87.940097 42.0231351, -87.940097 41.644286, -87.52366099999999 41.644286))"
Tierra del Fuego,"archipelago, South America",Tierra del Fuego,"{'lat': -54.21161194647284, 'lng': -69.32367235500021}","{'northeast': {'lat': -52.4268064, 'lng': -63.7018989}, 'southwest': {'lat': -55.99641750000001, 'lng': -74.9454458}}",Tierra del Fuego,ChIJfUmnsdW-5ZURPAib3OPTgwg,https://www.britannica.com/place/Tierra-del-Fuego-archipelago-South-America,POINT (-69.32367235500021 -54.21161194647284),"POLYGON ((-63.7018989 -55.99641750000001, -63.7018989 -52.4268064, -74.9454458 -52.4268064, -74.9454458 -55.99641750000001, -63.7018989 -55.99641750000001))"
Pentagon,"building, Arlington, Virginia, United States",Washington,"{'lat': 38.8718568, 'lng': -77.0562669}","{'northeast': {'lat': 38.8756014, 'lng': -77.0529616}, 'southwest': {'lat': 38.86673760000001, 'lng': -77.060921}}","Washington, VA, USA",ChIJJyztKd-2t4kRL1MTwPjQg68,https://www.britannica.com/topic/Pentagon,POINT (-77.0562669 38.8718568),"POLYGON ((-77.0529616 38.86673760000001, -77.0529616 38.8756014, -77.060921 38.8756014, -77.060921 38.86673760000001, -77.0529616 38.86673760000001))"
Panama Canal,"canal, Central America",Panama Canal,"{'lat': 9.14380343698933, 'lng': -79.72851610370265}","{'northeast': {'lat': 9.401031999999999, 'lng': -79.5153773}, 'southwest': {'lat': 8.8865749, 'lng': -79.9416549}}","Panama Canal, Panama",ChIJLUnNMUtfq48RYAlKoecR3dk,https://www.britannica.com/topic/Panama-Canal,POINT (-79.72851610370265 9.14380343698933),"POLYGON ((-79.5153773 8.8865749, -79.5153773 9.401031999999999, -79.9416549 9.401031999999999, -79.9416549 8.8865749, -79.5153773 8.8865749))"
Red Square,"square, Moscow, Russia",Krasnaya ploshad,"{'lat': 55.7533818, 'lng': 37.6218572}","{'northeast': {'lat': 55.7550396, 'lng': 37.6248623}, 'southwest': {'lat': 55.751468, 'lng': 37.6182555}}","Krasnaya ploshad, Moskva, Russia, 109012",ChIJAcyCZFdKtUYRv6AmH5Tglts,https://www.britannica.com/topic/Red-Square,POINT (37.6218572 55.7533818),"POLYGON ((37.6248623 55.751468, 37.6248623 55.7550396, 37.6182555 55.7550396, 37.6182555 55.751468, 37.6248623 55.751468))"
Bosporus,"strait, Turkey",Bosphorus,"{'lat': 41.2213125, 'lng': 29.1290157}","{'northeast': {'lat': 41.2340735, 'lng': 29.1647778}, 'southwest': {'lat': 40.9910628, 'lng': 28.9776197}}","Bosphorus, Türkiye",ChIJn5k8FGjKyhQRtd_p_WFbAGM,https://www.britannica.com/place/Bosporus,POINT (29.1290157 41.2213125),"POLYGON ((29.1647778 40.9910628, 29.1647778 41.2340735, 28.9776197 41.2340735, 28.9776197 40.9910628, 29.1647778 40.9910628))"
Grand Canyon National Park,"national park, Arizona, United States",Grand Canyon National Park,"{'lat': 36.2678855, 'lng': -112.3535253}","{'northeast': {'lat': 36.51027029999999, 'lng': -111.8002234}, 'southwest': {'lat': 35.6745486, 'lng': -113.8860446}}","Grand Canyon National Park, Arizona, USA",ChIJFU2bda4SM4cRKSCRyb6pOB8,https://www.britannica.com/place/Grand-Canyon-National-Park,POINT (-112.3535253 36.2678855),"POLYGON ((-111.8002234 35.6745486, -111.8002234 36.51027029999999, -113.8860446 36.51027029999999, -113.8860446 35.6745486, -111.8002234 35.6745486))"
